bioguide,chamber,name,party,rank,thomas,thomas_id,title
W000802,,Sheldon Whitehouse,minority,1,01823,SSEV15,Ranking Member
C000174,,Thomas R. Carper,minority,2,00179,SSEV15,
C000141,,Benjamin L. Cardin,minority,3,00174,SSEV15,
S000033,,Bernard Sanders,minority,4,01010,SSEV15,
G000555,,Kirsten E. Gillibrand,minority,5,01866,SSEV15,
B001288,,Cory A. Booker,minority,6,02194,SSEV15,
M000133,,Edward J. Markey,minority,7,00735,SSEV15,
H000338,,Orrin G. Hatch,majority,1,01351,SSFI,Chairman
G000386,,Chuck Grassley,majority,2,00457,SSFI,
C000880,,Mike Crapo,majority,3,00250,SSFI,
R000307,,Pat Roberts,majority,4,00968,SSFI,
E000285,,Michael B. Enzi,majority,5,01542,SSFI,
C001056,,John Cornyn,majority,6,01692,SSFI,
T000250,,John Thune,majority,7,01534,SSFI,
B001135,,Richard Burr,majority,8,00153,SSFI,
I000055,,Johnny Isakson,majority,9,01608,SSFI,
P000449,,Rob Portman,majority,10,00924,SSFI,
T000461,,Patrick J. Toomey,majority,11,02085,SSFI,
H001041,,Dean Heller,majority,13,01863,SSFI,
S001184,,Tim Scott,majority,14,02056,SSFI,
W000779,,Ron Wyden,minority,1,01247,SSFI,Ranking Member
S000148,,Charles E. Schumer,minority,2,01036,SSFI,
S000770,,Debbie Stabenow,minority,3,01531,SSFI,
C000127,,Maria Cantwell,minority,4,00172,SSFI,
N000032,,Bill Nelson,minority,5,00859,SSFI,
M000639,,Robert Menendez,minority,6,00791,SSFI,
C000174,,Thomas R. Carper,minority,7,00179,SSFI,
C000141,,Benjamin L. Cardin,minority,8,00174,SSFI,
B000944,,Sherrod Brown,minority,9,00136,SSFI,
B001267,,Michael F. Bennet,minority,10,01965,SSFI,
C001070,,"Robert P. Casey, Jr.",minority,11,01828,SSFI,
W000805,,Mark R. Warner,minority,12,01897,SSFI,
H001041,,Dean Heller,majority,1,01863,SSFI02,Chairman
I000055,,Johnny Isakson,majority,2,01608,SSFI02,
T000461,,Patrick J. Toomey,majority,3,02085,SSFI02,
S001184,,Tim Scott,majority,4,02056,SSFI02,
H000338,,Orrin G. Hatch,majority,5,01351,SSFI02,Ex Officio
B000944,,Sherrod Brown,minority,1,00136,SSFI02,Ranking Member
S000148,,Charles E. Schumer,minority,2,01036,SSFI02,
W000779,,Ron Wyden,minority,3,01247,SSFI02,Ex Officio
T000461,,Patrick J. Toomey,majority,1,02085,SSFI10,Chairman
G000386,,Chuck Grassley,majority,2,00457,SSFI10,
R000307,,Pat Roberts,majority,3,00968,SSFI10,
E000285,,Michael B. Enzi,majority,4,01542,SSFI10,
B001135,,Richard Burr,majority,5,00153,SSFI10,
H001041,,Dean Heller,majority,7,01863,SSFI10,
S001184,,Tim Scott,majority,8,02056,SSFI10,
H000338,,Orrin G. Hatch,majority,9,01351,SSFI10,Ex Officio
S000770,,Debbie Stabenow,minority,1,01531,SSFI10,Ranking Member
C000127,,Maria Cantwell,minority,2,00172,SSFI10,
M000639,,Robert Menendez,minority,3,00791,SSFI10,
C000141,,Benjamin L. Cardin,minority,4,00174,SSFI10,
B000944,,Sherrod Brown,minority,5,00136,SSFI10,
W000805,,Mark R. Warner,minority,6,01897,SSFI10,
W000779,,Ron Wyden,minority,7,01247,SSFI10,Ex Officio
C000880,,Mike Crapo,majority,1,00250,SSFI11,Chairman
R000307,,Pat Roberts,majority,2,00968,SSFI11,
E000285,,Michael B. Enzi,majority,3,01542,SSFI11,
C001056,,John Cornyn,majority,4,01692,SSFI11,
T000250,,John Thune,majority,5,01534,SSFI11,
I000055,,Johnny Isakson,majority,6,01608,SSFI11,
P000449,,Rob Portman,majority,7,00924,SSFI11,
T000461,,Patrick J. Toomey,majority,8,02085,SSFI11,
H001041,,Dean Heller,majority,10,01863,SSFI11,
S001184,,Tim Scott,majority,11,02056,SSFI11,
H000338,,Orrin G. Hatch,majority,12,01351,SSFI11,Ex Officio
C001070,,"Robert P. Casey, Jr.",minority,1,01828,SSFI11,Ranking Member
S000148,,Charles E. Schumer,minority,2,01036,SSFI11,
N000032,,Bill Nelson,minority,3,00859,SSFI11,
M000639,,Robert Menendez,minority,4,00791,SSFI11,
C000174,,Thomas R. Carper,minority,5,00179,SSFI11,
C000141,,Benjamin L. Cardin,minority,6,00174,SSFI11,
B001267,,Michael F. Bennet,minority,7,01965,SSFI11,
W000805,,Mark R. Warner,minority,8,01897,SSFI11,
W000779,,Ron Wyden,minority,9,01247,SSFI11,
G000386,,Chuck Grassley,majority,2,00457,SSFI12,
C000880,,Mike Crapo,majority,3,00250,SSFI12,
E000285,,Michael B. Enzi,majority,4,01542,SSFI12,
C001056,,John Cornyn,majority,5,01692,SSFI12,
T000250,,John Thune,majority,6,01534,SSFI12,
B001135,,Richard Burr,majority,7,00153,SSFI12,
H000338,,Orrin G. Hatch,majority,8,01351,SSFI12,Ex Officio
B001267,,Michael F. Bennet,minority,1,01965,SSFI12,Ranking Member
C000127,,Maria Cantwell,minority,2,00172,SSFI12,
N000032,,Bill Nelson,minority,3,00859,SSFI12,
C000174,,Thomas R. Carper,minority,4,00179,SSFI12,
C001070,,"Robert P. Casey, Jr.",minority,5,01828,SSFI12,
W000779,,Ron Wyden,minority,6,01247,SSFI12,Ex Officio
C001056,,John Cornyn,majority,1,01692,SSFI13,Chairman
G000386,,Chuck Grassley,majority,2,00457,SSFI13,
R000307,,Pat Roberts,majority,3,00968,SSFI13,
T000250,,John Thune,majority,4,01534,SSFI13,
I000055,,Johnny Isakson,majority,5,01608,SSFI13,
P000449,,Rob Portman,majority,6,00924,SSFI13,
H000338,,Orrin G. Hatch,majority,7,01351,SSFI13,Ex Officio
W000779,,Ron Wyden,minority,1,01247,SSFI13,Ranking Member
S000148,,Charles E. Schumer,minority,2,01036,SSFI13,
S000770,,Debbie Stabenow,minority,3,01531,SSFI13,
N000032,,Bill Nelson,minority,4,00859,SSFI13,
P000449,,Rob Portman,majority,1,00924,SSFI14,Chairman
C000880,,Mike Crapo,majority,2,00250,SSFI14,
B001135,,Richard Burr,majority,3,00153,SSFI14,
H000338,,Orrin G. Hatch,majority,4,01351,SSFI14,Ex Officio
W000805,,Mark R. Warner,minority,1,01897,SSFI14,Ranking Member
W000779,,Ron Wyden,minority,2,01247,SSFI14,Ex Officio
C001071,,Bob Corker,majority,1,01825,SSFR,Chairman
R000584,,James E. Risch,majority,2,01896,SSFR,
R000595,,Marco Rubio,majority,3,02084,SSFR,
J000293,,Ron Johnson,majority,4,02086,SSFR,
F000444,,Jeff Flake,majority,5,01633,SSFR,
G000562,,Cory Gardner,majority,6,01998,SSFR,
P000612,,David Perdue,majority,7,02286,SSFR,
I000055,,Johnny Isakson,majority,8,01608,SSFR,
P000603,,Rand Paul,majority,9,02082,SSFR,
B001261,,John Barrasso,majority,10,01881,SSFR,
C000141,,Benjamin L. Cardin,minority,1,00174,SSFR,Ranking Member
M000639,,Robert Menendez,minority,3,00791,SSFR,
S001181,,Jeanne Shaheen,minority,4,01901,SSFR,
C001088,,Christopher A. Coons,minority,5,01984,SSFR,
U000039,,Tom Udall,minority,6,01567,SSFR,
M001169,,Christopher Murphy,minority,7,01837,SSFR,
K000384,,Tim Kaine,minority,8,02176,SSFR,
M000133,,Edward J. Markey,minority,9,00735,SSFR,
J000293,,Ron Johnson,majority,1,02086,SSFR01,Chairman
P000603,,Rand Paul,majority,2,02082,SSFR01,
R000584,,James E. Risch,majority,3,01896,SSFR01,
G000562,,Cory Gardner,majority,4,01998,SSFR01,
B001261,,John Barrasso,majority,5,01881,SSFR01,
C001071,,Bob Corker,majority,6,01825,SSFR01,Ex Officio
S001181,,Jeanne Shaheen,minority,1,01901,SSFR01,Ranking Member
M001169,,Christopher Murphy,minority,2,01837,SSFR01,
K000384,,Tim Kaine,minority,3,02176,SSFR01,
M000133,,Edward J. Markey,minority,4,00735,SSFR01,
C000141,,Benjamin L. Cardin,minority,5,00174,SSFR01,Ex Officio
G000562,,Cory Gardner,majority,1,01998,SSFR02,Chairman
R000595,,Marco Rubio,majority,2,02084,SSFR02,
J000293,,Ron Johnson,majority,3,02086,SSFR02,
I000055,,Johnny Isakson,majority,4,01608,SSFR02,
F000444,,Jeff Flake,majority,5,01633,SSFR02,
C001071,,Bob Corker,majority,6,01825,SSFR02,Ex Officio
C000141,,Benjamin L. Cardin,minority,1,00174,SSFR02,Ranking Member
C001088,,Christopher A. Coons,minority,3,01984,SSFR02,
U000039,,Tom Udall,minority,4,01567,SSFR02,
R000595,,Marco Rubio,majority,1,02084,SSFR06,Chairman
F000444,,Jeff Flake,majority,2,01633,SSFR06,
G000562,,Cory Gardner,majority,3,01998,SSFR06,
P000612,,David Perdue,majority,4,02286,SSFR06,
I000055,,Johnny Isakson,majority,5,01608,SSFR06,
C001071,,Bob Corker,majority,6,01825,SSFR06,Ex Officio
U000039,,Tom Udall,minority,2,01567,SSFR06,
K000384,,Tim Kaine,minority,3,02176,SSFR06,
M000133,,Edward J. Markey,minority,4,00735,SSFR06,
C000141,,Benjamin L. Cardin,minority,5,00174,SSFR06,Ex Officio
R000584,,James E. Risch,majority,1,01896,SSFR07,Chairman
P000612,,David Perdue,majority,2,02286,SSFR07,
P000603,,Rand Paul,majority,3,02082,SSFR07,
R000595,,Marco Rubio,majority,4,02084,SSFR07,
J000293,,Ron Johnson,majority,5,02086,SSFR07,
C001071,,Bob Corker,majority,6,01825,SSFR07,Ex Officio
M001169,,Christopher Murphy,minority,1,01837,SSFR07,Ranking Member
C000141,,Benjamin L. Cardin,minority,2,00174,SSFR07,
S001181,,Jeanne Shaheen,minority,3,01901,SSFR07,
K000384,,Tim Kaine,minority,4,02176,SSFR07,
F000444,,Jeff Flake,majority,1,01633,SSFR09,Chairman
I000055,,Johnny Isakson,majority,2,01608,SSFR09,
P000603,,Rand Paul,majority,3,02082,SSFR09,
B001261,,John Barrasso,majority,4,01881,SSFR09,
R000595,,Marco Rubio,majority,5,02084,SSFR09,
C001071,,Bob Corker,majority,6,01825,SSFR09,Ex Officio
M000133,,Edward J. Markey,minority,1,00735,SSFR09,Ranking Member
C001088,,Christopher A. Coons,minority,2,01984,SSFR09,
U000039,,Tom Udall,minority,3,01567,SSFR09,
C000141,,Benjamin L. Cardin,minority,4,00174,SSFR09,
P000612,,David Perdue,majority,1,02286,SSFR14,Chairman
R000584,,James E. Risch,majority,2,01896,SSFR14,
I000055,,Johnny Isakson,majority,3,01608,SSFR14,
J000293,,Ron Johnson,majority,4,02086,SSFR14,
P000603,,Rand Paul,majority,5,02082,SSFR14,
C001071,,Bob Corker,majority,6,01825,SSFR14,Ex Officio
K000384,,Tim Kaine,minority,1,02176,SSFR14,Ranking Member
C001088,,Christopher A. Coons,minority,3,01984,SSFR14,
M001169,,Christopher Murphy,minority,4,01837,SSFR14,
C000141,,Benjamin L. Cardin,minority,5,00174,SSFR14,Ex Officio
B001261,,John Barrasso,majority,1,01881,SSFR15,Chairman
P000612,,David Perdue,majority,2,02286,SSFR15,
R000584,,James E. Risch,majority,3,01896,SSFR15,
F000444,,Jeff Flake,majority,4,01633,SSFR15,
G000562,,Cory Gardner,majority,5,01998,SSFR15,
C001071,,Bob Corker,majority,6,01825,SSFR15,Ex Officio
U000039,,Tom Udall,minority,1,01567,SSFR15,Ranking Member
S001181,,Jeanne Shaheen,minority,3,01901,SSFR15,
M000133,,Edward J. Markey,minority,4,00735,SSFR15,
C000141,,Benjamin L. Cardin,minority,5,00174,SSFR15,Ex Officio
J000293,,Ron Johnson,majority,1,02086,SSGA,Chairman
M000303,,John McCain,majority,2,00754,SSGA,
P000449,,Rob Portman,majority,3,00924,SSGA,
P000603,,Rand Paul,majority,4,02082,SSGA,
L000575,,James Lankford,majority,5,02050,SSGA,
E000285,,Michael B. Enzi,majority,7,01542,SSGA,
E000295,,Joni Ernst,majority,8,02283,SSGA,
S001197,,Ben Sasse,majority,9,02289,SSGA,
C000174,,Thomas R. Carper,minority,1,00179,SSGA,Ranking Member
M001170,,Claire McCaskill,minority,2,01820,SSGA,
T000464,,Jon Tester,minority,3,01829,SSGA,
B001230,,Tammy Baldwin,minority,4,01558,SSGA,
H001069,,Heidi Heitkamp,minority,5,02174,SSGA,
B001288,,Cory A. Booker,minority,6,02194,SSGA,
P000595,,Gary C. Peters,minority,7,01929,SSGA,
P000449,,Rob Portman,majority,1,00924,SSGA01,Chairman
M000303,,John McCain,majority,2,00754,SSGA01,
P000603,,Rand Paul,majority,3,02082,SSGA01,
L000575,,James Lankford,majority,4,02050,SSGA01,
S001197,,Ben Sasse,majority,6,02289,SSGA01,
J000293,,Ron Johnson,majority,7,02086,SSGA01,Ex Officio
M001170,,Claire McCaskill,minority,1,01820,SSGA01,Ranking Member
T000464,,Jon Tester,minority,2,01829,SSGA01,
B001230,,Tammy Baldwin,minority,3,01558,SSGA01,
H001069,,Heidi Heitkamp,minority,4,02174,SSGA01,
C000174,,Thomas R. Carper,minority,5,00179,SSGA01,Ex Officio
P000603,,Rand Paul,majority,1,02082,SSGA18,Chairman
L000575,,James Lankford,majority,2,02050,SSGA18,
E000285,,Michael B. Enzi,majority,3,01542,SSGA18,
E000295,,Joni Ernst,majority,5,02283,SSGA18,
S001197,,Ben Sasse,majority,6,02289,SSGA18,
J000293,,Ron Johnson,majority,7,02086,SSGA18,Ex Officio
B001230,,Tammy Baldwin,minority,1,01558,SSGA18,Ranking Member
M001170,,Claire McCaskill,minority,2,01820,SSGA18,
B001288,,Cory A. Booker,minority,3,02194,SSGA18,
P000595,,Gary C. Peters,minority,4,01929,SSGA18,
C000174,,Thomas R. Carper,minority,5,00179,SSGA18,Ex Officio
L000575,,James Lankford,majority,1,02050,SSGA19,Chairman
M000303,,John McCain,majority,2,00754,SSGA19,
P000449,,Rob Portman,majority,3,00924,SSGA19,
E000285,,Michael B. Enzi,majority,4,01542,SSGA19,
E000295,,Joni Ernst,majority,5,02283,SSGA19,
S001197,,Ben Sasse,majority,6,02289,SSGA19,
J000293,,Ron Johnson,majority,7,02086,SSGA19,Ex Officio
H001069,,Heidi Heitkamp,minority,1,02174,SSGA19,Ranking Member
T000464,,Jon Tester,minority,2,01829,SSGA19,
B001288,,Cory A. Booker,minority,3,02194,SSGA19,
P000595,,Gary C. Peters,minority,4,01929,SSGA19,
C000174,,Thomas R. Carper,minority,5,00179,SSGA19,Ex Officio
A000360,,Lamar Alexander,majority,1,01695,SSHR,Chairman
E000285,,Michael B. Enzi,majority,2,01542,SSHR,
B001135,,Richard Burr,majority,3,00153,SSHR,
I000055,,Johnny Isakson,majority,4,01608,SSHR,
P000603,,Rand Paul,majority,5,02082,SSHR,
C001035,,Susan M. Collins,majority,6,01541,SSHR,
M001153,,Lisa Murkowski,majority,7,01694,SSHR,
S001184,,Tim Scott,majority,9,02056,SSHR,
H000338,,Orrin G. Hatch,majority,10,01351,SSHR,
R000307,,Pat Roberts,majority,11,00968,SSHR,
C001075,,Bill Cassidy,majority,12,01925,SSHR,
M001111,,Patty Murray,minority,1,01409,SSHR,Ranking Member
S000033,,Bernard Sanders,minority,3,01010,SSHR,
C001070,,"Robert P. Casey, Jr.",minority,4,01828,SSHR,
F000457,,Al Franken,minority,5,01969,SSHR,
B001267,,Michael F. Bennet,minority,6,01965,SSHR,
W000802,,Sheldon Whitehouse,minority,7,01823,SSHR,
B001230,,Tammy Baldwin,minority,8,01558,SSHR,
M001169,,Christopher Murphy,minority,9,01837,SSHR,
W000817,,Elizabeth Warren,minority,10,02182,SSHR,
P000603,,Rand Paul,majority,1,02082,SSHR09,Chairman
M001153,,Lisa Murkowski,majority,2,01694,SSHR09,
B001135,,Richard Burr,majority,3,00153,SSHR09,
H000338,,Orrin G. Hatch,majority,5,01351,SSHR09,
R000307,,Pat Roberts,majority,6,00968,SSHR09,
C001075,,Bill Cassidy,majority,7,01925,SSHR09,
A000360,,Lamar Alexander,majority,8,01695,SSHR09,Ex Officio
C001070,,"Robert P. Casey, Jr.",minority,1,01828,SSHR09,Ranking Member
S000033,,Bernard Sanders,minority,3,01010,SSHR09,
F000457,,Al Franken,minority,4,01969,SSHR09,
B001267,,Michael F. Bennet,minority,5,01965,SSHR09,
M001111,,Patty Murray,minority,6,01409,SSHR09,Ex Officio
I000055,,Johnny Isakson,majority,1,01608,SSHR11,Chairman
P000603,,Rand Paul,majority,2,02082,SSHR11,
S001184,,Tim Scott,majority,3,02056,SSHR11,
R000307,,Pat Roberts,majority,5,00968,SSHR11,
C001075,,Bill Cassidy,majority,6,01925,SSHR11,
A000360,,Lamar Alexander,majority,7,01695,SSHR11,Ex Officio
F000457,,Al Franken,minority,1,01969,SSHR11,Ranking Member
C001070,,"Robert P. Casey, Jr.",minority,2,01828,SSHR11,
W000802,,Sheldon Whitehouse,minority,3,01823,SSHR11,
B001230,,Tammy Baldwin,minority,4,01558,SSHR11,
M001111,,Patty Murray,minority,5,01409,SSHR11,Ex Officio
E000285,,Michael B. Enzi,majority,1,01542,SSHR12,Chairman
B001135,,Richard Burr,majority,2,00153,SSHR12,
C001035,,Susan M. Collins,majority,3,01541,SSHR12,
S001184,,Tim Scott,majority,5,02056,SSHR12,
H000338,,Orrin G. Hatch,majority,6,01351,SSHR12,
R000307,,Pat Roberts,majority,7,00968,SSHR12,
C001075,,Bill Cassidy,majority,8,01925,SSHR12,
M001153,,Lisa Murkowski,majority,9,01694,SSHR12,
A000360,,Lamar Alexander,majority,10,01695,SSHR12,Ex Officio
S000033,,Bernard Sanders,minority,1,01010,SSHR12,Ranking Member
B001267,,Michael F. Bennet,minority,3,01965,SSHR12,
W000802,,Sheldon Whitehouse,minority,4,01823,SSHR12,
B001230,,Tammy Baldwin,minority,5,01558,SSHR12,
M001169,,Christopher Murphy,minority,6,01837,SSHR12,
W000817,,Elizabeth Warren,minority,7,02182,SSHR12,
M001111,,Patty Murray,minority,8,01409,SSHR12,Ex Officio
G000386,,Chuck Grassley,majority,1,00457,SSJU,Chairman
H000338,,Orrin G. Hatch,majority,2,01351,SSJU,
S001141,,Jeff Sessions,majority,3,01548,SSJU,
G000359,,Lindsey Graham,majority,4,00452,SSJU,
C001056,,John Cornyn,majority,5,01692,SSJU,
L000577,,Mike Lee,majority,6,02080,SSJU,
C001098,,Ted Cruz,majority,7,02175,SSJU,
F000444,,Jeff Flake,majority,9,01633,SSJU,
P000612,,David Perdue,majority,10,02286,SSJU,
T000476,,Thom Tillis,majority,11,02291,SSJU,
L000174,,Patrick J. Leahy,minority,1,01383,SSJU,Ranking Member
F000062,,Dianne Feinstein,minority,2,01332,SSJU,
S000148,,Charles E. Schumer,minority,3,01036,SSJU,
D000563,,Richard J. Durbin,minority,4,00326,SSJU,
W000802,,Sheldon Whitehouse,minority,5,01823,SSJU,
K000367,,Amy Klobuchar,minority,6,01826,SSJU,
F000457,,Al Franken,minority,7,01969,SSJU,
C001088,,Christopher A. Coons,minority,8,01984,SSJU,
B001277,,Richard Blumenthal,minority,9,02076,SSJU,
L000577,,Mike Lee,majority,1,02080,SSJU01,Chairman
P000612,,David Perdue,majority,2,02286,SSJU01,
T000476,,Thom Tillis,majority,3,02291,SSJU01,
G000386,,Chuck Grassley,majority,4,00457,SSJU01,
H000338,,Orrin G. Hatch,majority,5,01351,SSJU01,
K000367,,Amy Klobuchar,minority,1,01826,SSJU01,Ranking Member
C001088,,Christopher A. Coons,minority,2,01984,SSJU01,
F000457,,Al Franken,minority,3,01969,SSJU01,
B001277,,Richard Blumenthal,minority,4,02076,SSJU01,
S001141,,Jeff Sessions,majority,1,01548,SSJU04,Chairman
P000612,,David Perdue,majority,3,02286,SSJU04,
G000386,,Chuck Grassley,majority,4,00457,SSJU04,
C001056,,John Cornyn,majority,5,01692,SSJU04,
L000577,,Mike Lee,majority,6,02080,SSJU04,
C001098,,Ted Cruz,majority,7,02175,SSJU04,
T000476,,Thom Tillis,majority,8,02291,SSJU04,
S000148,,Charles E. Schumer,minority,1,01036,SSJU04,Ranking Member
L000174,,Patrick J. Leahy,minority,2,01383,SSJU04,
F000062,,Dianne Feinstein,minority,3,01332,SSJU04,
D000563,,Richard J. Durbin,minority,4,00326,SSJU04,
K000367,,Amy Klobuchar,minority,5,01826,SSJU04,
F000457,,Al Franken,minority,6,01969,SSJU04,
B001277,,Richard Blumenthal,minority,7,02076,SSJU04,
C001056,,John Cornyn,majority,1,01692,SSJU21,Chairman
T000476,,Thom Tillis,majority,2,02291,SSJU21,
G000359,,Lindsey Graham,majority,3,00452,SSJU21,
C001098,,Ted Cruz,majority,4,02175,SSJU21,
D000563,,Richard J. Durbin,minority,1,00326,SSJU21,Ranking Member
W000802,,Sheldon Whitehouse,minority,2,01823,SSJU21,
C001088,,Christopher A. Coons,minority,3,01984,SSJU21,
F000457,,Al Franken,minority,4,01969,SSJU21,
G000359,,Lindsey Graham,majority,1,00452,SSJU22,Chairman
S001141,,Jeff Sessions,majority,3,01548,SSJU22,
C001056,,John Cornyn,majority,4,01692,SSJU22,
F000444,,Jeff Flake,majority,5,01633,SSJU22,
W000802,,Sheldon Whitehouse,minority,1,01823,SSJU22,Ranking Member
S000148,,Charles E. Schumer,minority,2,01036,SSJU22,
K000367,,Amy Klobuchar,minority,3,01826,SSJU22,
F000457,,Al Franken,minority,4,01969,SSJU22,
F000444,,Jeff Flake,majority,1,01633,SSJU23,Chairman
H000338,,Orrin G. Hatch,majority,2,01351,SSJU23,
P000612,,David Perdue,majority,3,02286,SSJU23,
L000577,,Mike Lee,majority,4,02080,SSJU23,
T000476,,Thom Tillis,majority,5,02291,SSJU23,
G000359,,Lindsey Graham,majority,6,00452,SSJU23,
F000457,,Al Franken,minority,1,01969,SSJU23,Ranking Member
F000062,,Dianne Feinstein,minority,2,01332,SSJU23,
S000148,,Charles E. Schumer,minority,3,01036,SSJU23,
W000802,,Sheldon Whitehouse,minority,4,01823,SSJU23,
C001088,,Christopher A. Coons,minority,5,01984,SSJU23,
C001098,,Ted Cruz,majority,1,02175,SSJU25,Chairman
G000386,,Chuck Grassley,majority,2,00457,SSJU25,
H000338,,Orrin G. Hatch,majority,3,01351,SSJU25,
S001141,,Jeff Sessions,majority,4,01548,SSJU25,
F000444,,Jeff Flake,majority,5,01633,SSJU25,
G000359,,Lindsey Graham,majority,6,00452,SSJU25,
L000577,,Mike Lee,majority,7,02080,SSJU25,
C001088,,Christopher A. Coons,minority,1,01984,SSJU25,Ranking Member
F000062,,Dianne Feinstein,minority,2,01332,SSJU25,
D000563,,Richard J. Durbin,minority,3,00326,SSJU25,
S000148,,Charles E. Schumer,minority,4,01036,SSJU25,
W000802,,Sheldon Whitehouse,minority,5,01823,SSJU25,
K000367,,Amy Klobuchar,minority,6,01826,SSJU25,
B001277,,Richard Blumenthal,minority,7,02076,SSJU25,
B000575,,Roy Blunt,majority,1,01464,SSRA,Chairman
A000360,,Lamar Alexander,majority,2,01695,SSRA,
M000355,,Mitch McConnell,majority,3,01395,SSRA,
C000567,,Thad Cochran,majority,4,00213,SSRA,
R000307,,Pat Roberts,majority,5,00968,SSRA,
S000320,,Richard C. Shelby,majority,6,01049,SSRA,
C001098,,Ted Cruz,majority,7,02175,SSRA,
C001047,,Shelley Moore Capito,majority,8,01676,SSRA,
B001236,,John Boozman,majority,9,01687,SSRA,
W000437,,Roger F. Wicker,majority,10,01226,SSRA,
S000148,,Charles E. Schumer,minority,1,01036,SSRA,Ranking Member
F000062,,Dianne Feinstein,minority,2,01332,SSRA,
D000563,,Richard J. Durbin,minority,3,00326,SSRA,
U000039,,Tom Udall,minority,4,01567,SSRA,
W000805,,Mark R. Warner,minority,5,01897,SSRA,
L000174,,Patrick J. Leahy,minority,6,01383,SSRA,
K000367,,Amy Klobuchar,minority,7,01826,SSRA,
K000383,,"Angus S. King, Jr.",minority,8,02185,SSRA,
R000584,,James E. Risch,majority,2,01896,SSSB,
R000595,,Marco Rubio,majority,3,02084,SSSB,
P000603,,Rand Paul,majority,4,02082,SSSB,
S001184,,Tim Scott,majority,5,02056,SSSB,
F000463,,Deb Fischer,majority,6,02179,SSSB,
G000562,,Cory Gardner,majority,7,01998,SSSB,
E000295,,Joni Ernst,majority,8,02283,SSSB,
E000285,,Michael B. Enzi,majority,10,01542,SSSB,
S001181,,Jeanne Shaheen,minority,1,01901,SSSB,Ranking Member
C000127,,Maria Cantwell,minority,2,00172,SSSB,
C000141,,Benjamin L. Cardin,minority,3,00174,SSSB,
H001069,,Heidi Heitkamp,minority,4,02174,SSSB,
M000133,,Edward J. Markey,minority,5,00735,SSSB,
B001288,,Cory A. Booker,minority,6,02194,SSSB,
C001088,,Christopher A. Coons,minority,7,01984,SSSB,
H001042,,Mazie K. Hirono,minority,8,01844,SSSB,
P000595,,Gary C. Peters,minority,9,01929,SSSB,
I000055,,Johnny Isakson,majority,1,01608,SSVA,Chairman
M000934,,Jerry Moran,majority,2,01507,SSVA,
B001236,,John Boozman,majority,3,01687,SSVA,
H001041,,Dean Heller,majority,4,01863,SSVA,
C001075,,Bill Cassidy,majority,5,01925,SSVA,
R000605,,Mike Rounds,majority,6,02288,SSVA,
T000476,,Thom Tillis,majority,7,02291,SSVA,
S001198,,Daniel Sullivan,majority,8,02290,SSVA,
B001277,,Richard Blumenthal,minority,1,02076,SSVA,Ranking Member
M001111,,Patty Murray,minority,2,01409,SSVA,
S000033,,Bernard Sanders,minority,3,01010,SSVA,
B000944,,Sherrod Brown,minority,4,00136,SSVA,
T000464,,Jon Tester,minority,5,01829,SSVA,
H001042,,Mazie K. Hirono,minority,6,01844,SSVA,
M001183,,"Joe Manchin, III",minority,7,01983,SSVA,
