Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2002 [YR2002],2003 [YR2003],2004 [YR2004],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bosnia and Herzegovina,BIH,0,5136.513774,5373.217922,6200.652275,9354.550815,9976.496637,10304.07475,11016.54419,11433.16261,12013.91994,12990.01581,13788.48206,14932.37321,15791.67474
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Botswana,BWA,5682.074439,9347.827916,9790.967328,10144.54499,13352.30022,14252.71293,13590.51537,14707.7017,16300.83711,15547.17588,17260.26359,17253.23161,18050.25374,18502.81822
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brazil,BRA,6701.209044,9568.063847,9733.770816,10445.34451,14299.5517,15040.05818,15046.28988,15588.72621,15718.56565,14744.11291,14256.16325,14519.84913,14940.67261,15258.85083
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,British Virgin Islands,VGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brunei Darussalam,BRN,55913.65093,70716.75937,72755.733,73808.52672,80277.54569,83935.01251,88247.72774,83787.06062,81373.01807,62541.68036,56296.01977,60995.68111,61813.89516,64673.29857
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bulgaria,BGR,7536.986887,7786.386557,8407.785466,9193.156479,14872.37421,15661.20193,16241.63307,16581.77059,17555.49504,18341.96059,19885.78187,21363.02909,22601.40349,24561.18261
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burkina Faso,BFA,589.9031981,1005.429745,1072.46739,1117.465432,1502.10347,1586.571556,1619.400012,1683.107411,1692.304397,1713.519379,1893.696435,2053.504418,2181.845865,2280.380037
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burundi,BDI,615.0721012,554.9452616,541.7644683,565.0423505,663.0547952,681.9716213,690.6881405,740.9842308,777.0415572,841.6463572,796.9443873,773.5718584,779.4938184,782.8165888
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cabo Verde,CPV,1063.563307,3273.979655,3420.162625,3813.705901,5692.433557,5966.871922,5818.972162,5792.829274,5748.173874,5994.372832,6322.841809,6643.204611,7026.120161,7469.075579
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cambodia,KHM,0,1237.652993,1344.624804,1499.086925,2427.243314,2611.30599,2868.737515,3045.590555,3185.336898,3388.73742,3675.037921,3928.373688,4257.484976,4570.694289
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Cameroon,CMR,1855.409069,2079.760209,2156.691396,2302.116143,2681.886817,2773.896667,2855.446156,3002.610781,3185.355149,3260.524969,3405.057589,3554.525156,3688.581534,3804.071711
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Canada,CAN,20150.78799,30853.20132,32219.42875,33795.6837,40019.2054,41569.44962,42290.96541,44298.57873,45753.75055,44671.44068,46480.46536,48633.82978,50077.79624,51341.70517
